Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product,Category,Quantity,Unit_Price,Discount,Revenue
O0001,2025-06-10,C002,Priya Verma,P008,Coffee Maker,Home,2,3499,0.1,6298.2
O0002,2025-02-04,C002,Priya Verma,P007,Office Chair,Furniture,1,6999,0.15,5949.15
O0003,2025-10-14,C015,Karan Shah,P008,Coffee Maker,Home,2,3499,0.0,6998.0
O0004,2025-05-16,C017,Nikhil Kumar,P005,Bluetooth Speaker,Electronics,2,1999,0.1,3598.2
O0005,2025-10-28,C016,Riya Sen,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0006,2025-07-22,C010,Neha Malhotra,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0007,2025-08-19,C018,Tanya Agarwal,P009,Desk Lamp,Home,1,999,0.1,899.1
O0008,2025-12-21,C015,Karan Shah,P004,Running Shoes,Fashion,1,2999,0.1,2699.1
O0009,2025-03-13,C014,Meera Iyer,P008,Coffee Maker,Home,2,3499,0.0,6998.0
O0010,2025-02-26,C010,Neha Malhotra,P001,Wireless Headphones,Electronics,2,2499,0.05,4748.1
O0011,2025-12-20,C019,Dev Khanna,P008,Coffee Maker,Home,1,3499,0.0,3499.0
O0012,2025-06-21,C019,Dev Khanna,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0013,2025-06-23,C010,Neha Malhotra,P002,Smart Watch,Electronics,2,3999,0.0,7998.0
O0014,2025-06-09,C012,Kavya Nair,P007,Office Chair,Furniture,3,6999,0.1,18897.3
O0015,2025-04-25,C013,Siddharth Bose,P008,Coffee Maker,Home,1,3499,0.1,3149.1
O0016,2025-05-22,C009,Vikram Das,P009,Desk Lamp,Home,3,999,0.0,2997.0
O0017,2025-02-21,C005,Rohan Mehta,P007,Office Chair,Furniture,2,6999,0.0,13998.0
O0018,2025-10-15,C017,Nikhil Kumar,P001,Wireless Headphones,Electronics,2,2499,0.05,4748.1
O0019,2025-10-12,C010,Neha Malhotra,P008,Coffee Maker,Home,1,3499,0.0,3499.0
O0020,2025-02-21,C011,Arjun Patel,P006,Cotton Hoodie,Fashion,1,1799,0.0,1799.0
O0021,2025-06-21,C009,Vikram Das,P007,Office Chair,Furniture,2,6999,0.05,13298.1
O0022,2025-08-20,C002,Priya Verma,P008,Coffee Maker,Home,2,3499,0.05,6648.1
O0023,2025-04-21,C002,Priya Verma,P006,Cotton Hoodie,Fashion,2,1799,0.0,3598.0
O0024,2025-03-20,C007,Aditya Jain,P005,Bluetooth Speaker,Electronics,3,1999,0.0,5997.0
O0025,2025-03-27,C020,Pooja Sinha,P009,Desk Lamp,Home,1,999,0.0,999.0
O0026,2025-04-18,C018,Tanya Agarwal,P003,Laptop Backpack,Accessories,3,1499,0.05,4272.15
O0027,2025-10-14,C003,Rahul Singh,P006,Cotton Hoodie,Fashion,2,1799,0.05,3418.1
O0028,2025-10-25,C009,Vikram Das,P005,Bluetooth Speaker,Electronics,1,1999,0.0,1999.0
O0029,2025-02-02,C007,Aditya Jain,P001,Wireless Headphones,Electronics,1,2499,0.05,2374.05
O0030,2025-02-28,C014,Meera Iyer,P005,Bluetooth Speaker,Electronics,2,1999,0.0,3998.0
O0031,2025-09-12,C019,Dev Khanna,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0032,2025-04-21,C004,Ananya Gupta,P004,Running Shoes,Fashion,1,2999,0.05,2849.05
O0033,2025-02-01,C013,Siddharth Bose,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0034,2025-11-28,C007,Aditya Jain,P010,Mechanical Keyboard,Electronics,1,4499,0.05,4274.05
O0035,2025-12-20,C010,Neha Malhotra,P003,Laptop Backpack,Accessories,2,1499,0.1,2698.2
O0036,2025-06-14,C006,Sneha Kapoor,P008,Coffee Maker,Home,2,3499,0.0,6998.0
O0037,2025-11-26,C002,Priya Verma,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0038,2025-04-22,C015,Karan Shah,P003,Laptop Backpack,Accessories,2,1499,0.05,2848.1
O0039,2025-11-09,C011,Arjun Patel,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0040,2025-06-07,C010,Neha Malhotra,P008,Coffee Maker,Home,2,3499,0.05,6648.1
O0041,2025-08-26,C003,Rahul Singh,P006,Cotton Hoodie,Fashion,1,1799,0.0,1799.0
O0042,2025-01-16,C016,Riya Sen,P005,Bluetooth Speaker,Electronics,2,1999,0.0,3998.0
O0043,2025-02-22,C004,Ananya Gupta,P004,Running Shoes,Fashion,2,2999,0.0,5998.0
O0044,2025-03-04,C004,Ananya Gupta,P006,Cotton Hoodie,Fashion,2,1799,0.1,3238.2
